ivmeX,ivmeY,ivmeZ,GyroX,GyroY,GyroZ,A0,A1
17288,320,-1456,-233,-17,-188,137,137
17340,268,-1480,-234,0,-186,136,136
17340,252,-1464,-221,-6,-227,138,137
17384,332,-1508,-224,-19,-240,134,136
17428,344,-1520,-239,-12,-213,135,136
17348,228,-1556,-222,3,-178,135,135
17408,268,-1584,-239,-29,-171,136,136
17328,264,-1524,-247,-13,-219,135,137
17404,272,-1408,-239,-28,-258,133,136
17460,252,-1516,-239,-33,-242,135,137
17372,728,-1264,1494,-37,-334,135,137
17432,1324,-1132,2102,-86,-766,137,136
17324,-1860,-2672,2653,-90,-439,138,137
17432,-52,-1588,-154,57,-374,137,138
17876,-452,-2624,820,-561,-14,138,139
17432,752,-1704,1637,980,566,138,138
17472,264,-1488,-205,24,-261,137,136
17336,192,-1472,-239,-23,-225,137,138
17452,684,-1404,-783,420,0,138,140
17408,296,-1296,-364,-29,-401,138,140
17196,-1556,-1020,1481,-29,62,140,139
17516,332,-1068,789,-117,-415,140,141
17540,528,-1256,-393,-323,-259,138,138
17336,908,-808,-506,341,-28,137,138
17396,1868,-1668,-2114,-4,-245,144,144
17316,128,-552,-584,-52,-167,147,146
17384,-220,-1424,-689,-258,-177,147,148
17504,2312,-1668,1691,-323,-356,146,147
17128,156,-2616,479,-1110,-1297,146,147
16856,1216,-1796,-1272,185,-3538,145,147
17288,1708,-2076,-637,-156,-66,149,148
16060,2140,-2168,29,741,116,147,147
16780,2532,-2060,-862,616,-70,150,149
15972,384,-816,-2311,-1338,-577,151,149
17660,1708,-1660,-525,-1710,-516,147,148
17308,2132,-1836,-16,-3041,410,147,146
17524,868,-3748,-127,-7867,1673,146,146
16972,728,-6252,1018,-3871,242,147,148
16008,356,-7232,-38,-6340,134,145,144
14376,184,-9372,319,-3455,2325,143,143
14716,-412,-10924,103,-3398,-109,141,140
14156,-788,-10744,13,-309,647,142,141
14124,-760,-10884,241,-1875,-388,141,141
13764,-1604,-10720,-26,2600,424,137,138
15232,-1128,-10040,-943,5910,-456,137,139
16000,-568,-7020,-537,10614,1143,142,144
17212,-1248,-3104,756,12856,480,137,139
17376,-1192,1912,881,6082,-636,138,139
16964,-1140,2804,-1073,4290,2091,138,139
16488,-2188,4744,1364,3664,-1356,139,139
16188,-1788,5100,-345,-57,1140,144,143
15476,-2468,4852,-1483,-4606,3537,145,146
16276,-2604,2320,227,-2915,237,145,147
17028,-3468,1316,-1888,-4937,1673,146,146
17124,-4416,156,-2173,-3411,2367,142,143
15584,-5676,-1968,-1358,-3516,3820,142,143
16908,-6168,-2520,69,-2960,2025,134,135
15556,-7004,-2376,-770,-824,1460,140,140
15612,-7412,-3340,-339,-1061,91,142,141
14556,-6736,-4160,-237,-988,2295,144,143
14820,-7736,-3908,-1654,232,-592,142,141
16200,-8288,-2716,-101,798,-377,147,147
14964,-8924,-3500,-1669,-630,271,145,146
14564,-8480,-3216,-1031,214,31,144,143
14484,-8528,-3360,-621,-1715,1557,145,145
14628,-9596,-4044,36,-914,-429,148,148
13196,-9004,-4548,46,148,1994,148,148
14160,-9280,-4936,214,-1063,565,147,147
12960,-10356,-5168,-657,-2172,1302,148,147
13428,-10624,-5264,-4,-561,706,148,149
13704,-10056,-5840,-661,1054,-3206,145,146
14280,-9024,-4224,505,649,-2033,146,146
13924,-9448,-4352,-1140,-283,-2112,144,144
14512,-8636,-4912,-734,578,-151,149,148
14560,-8852,-4652,-1621,-570,-115,115,120
14360,-8488,-5340,-238,-65,-79,302,314
13720,-8832,-5352,-967,-237,342,405,406
14232,-8640,-5460,-449,-33,-110,449,450
13912,-8884,-5844,-588,-116,-782,442,441
14500,-8804,-5224,-270,482,-148,502,494
14324,-8596,-5568,-465,-53,119,510,507
14320,-8696,-5180,496,693,185,157,147
14060,-8632,-5144,268,95,-234,69,74
14616,-9096,-4844,-45,-645,-1530,103,93
12844,-9288,-5752,-87,-1476,515,78,83
14136,-8892,-5780,1165,-23,-641,97,80
14032,-8944,-4112,82,392,190,58,68
13848,-8712,-5020,-1387,768,57,84,85
14956,-9012,-5140,-136,471,-824,90,95
14996,-8488,-3956,-736,296,-221,228,229
14376,-8676,-4832,-867,309,-211,314,311
14472,-9236,-4668,-509,86,-760,353,356
14312,-8748,-4468,-270,40,-262,414,410
14572,-8428,-5108,-1196,273,-795,113,111
14624,-8212,-4892,646,1512,-2229,80,91
14620,-8084,-3972,1271,1776,-46,80,86
15320,-7128,-3892,305,915,-2119,94,92
16092,-7336,-3260,-896,542,-3188,112,112
16008,-6524,-3308,-475,-321,-848,118,119
16052,-5620,-3732,-473,203,-321,114,114
16472,-6028,-2828,285,542,150,115,115
16548,-5396,-2828,-543,418,59,111,111
15964,-6972,-2248,-1590,-1257,426,111,114
16856,-5532,-3012,-1561,-457,538,118,120
16588,-5712,-2988,-1579,-1310,-979,101,101
16100,-5804,-2988,642,-544,-786,113,111
16348,-5988,-2904,767,-1118,-433,112,114
15824,-6388,-3112,-32,-727,214,114,116
15820,-5928,-3696,305,-1556,1605,121,110
16112,-5656,-4548,525,-1211,-587,164,162
16360,-5616,-4784,983,-1051,-822,199,197
16100,-5704,-4264,755,-479,317,123,111
15740,-6732,-4212,137,782,-244,100,93
15480,-5828,-3444,-1478,1059,144,116,117
15820,-5976,-4040,-3063,1136,-595,120,121
16456,-5952,-3228,-2230,1995,-455,148,122
16208,-6064,-4472,-969,1041,-428,227,184
16304,-5264,-3220,-13,-825,337,230,255
16376,-6460,-4292,58,-2182,-953,233,283
15360,-6892,-3680,1023,-2748,165,234,295
15624,-6580,-5316,-704,-1214,49,232,330
15436,-6124,-5600,-1063,530,-504,223,314
16028,-6180,-4704,-714,749,-704,237,239
16328,-6140,-3888,2973,5471,-2465,248,165
16552,-5188,-2908,990,1481,-3037,248,79
16252,-3468,-1864,1521,5464,-2412,252,70
17452,-2376,324,1751,2448,-4544,258,61
16560,-2576,1308,502,2973,-2604,224,11
16928,-2172,2660,811,2299,-1242,228,27
15960,-1632,4244,2116,5993,-433,229,20
15752,-1088,6152,3989,6003,-3406,225,17
16068,424,7060,1227,-2399,-4020,237,12
15744,1980,6356,602,-3641,-3725,244,11
15396,3376,4496,2369,-5046,-3603,112,109
15940,4408,4020,4330,-5074,-4219,113,113
16272,5504,2252,3228,729,-4193,108,111
15992,6684,48,2263,97,-2374,104,106
15460,7036,1556,1570,2545,-2192,253,126
14008,7684,2248,1622,2556,-1168,257,212
15344,9128,1252,-352,1450,584,252,218
14212,7932,1272,1406,676,-1188,248,197
15196,8432,1072,1931,75,-2804,244,229
14304,9228,2568,2117,3193,-2111,238,267
14108,9696,2744,1573,622,-1630,240,307
14292,9388,1204,80,-1357,-389,248,217
13660,9428,1300,-533,132,683,247,203
